latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-10.09994,-36.36037,314.18,1.76,1.3,2024-02-02,0005,T,89,6.1NRT,288.91,27.29,N
-10.10191,-36.3763,303.7,1.77,1.3,2024-02-02,0005,T,42,6.1NRT,290.15,10.4,N
-10.08837,-36.36179,335.74,1.76,1.3,2024-02-02,0005,T,100,6.1NRT,292.1,83.1,N
-10.09031,-36.37762,307.98,1.77,1.3,2024-02-02,0005,T,72,6.1NRT,292.44,16.87,N
-10.08948,-36.35137,309.35,1.76,1.3,2024-02-02,0005,T,55,6.1NRT,289.3,19.28,N
-10.09153,-36.36707,333.89,1.76,1.3,2024-02-02,0005,T,100,6.1NRT,292.52,76.32,N
-9.58729,-36.09972,307.35,1.65,1.26,2024-02-02,0005,T,71,6.1NRT,289.99,14.26,N
-9.58777,-36.10586,306.72,1.65,1.26,2024-02-02,0005,T,69,6.1NRT,289.74,14.23,N
-9.51895,-35.83696,328.32,1.58,1.24,2024-02-02,0005,T,100,6.1NRT,290.57,50.65,N
-9.50797,-35.83843,301.53,1.58,1.24,2024-02-02,0005,T,42,6.1NRT,290.27,6.32,N
-9.47456,-35.92879,305.19,1.6,1.25,2024-02-02,0005,T,63,6.1NRT,291.64,10.31,N
-9.47633,-35.94304,307.53,1.6,1.25,2024-02-02,0005,T,72,6.1NRT,291.97,13.19,N
-9.47367,-35.9346,313.52,1.6,1.25,2024-02-02,0005,T,87,6.1NRT,292,22.31,N
-9.33269,-35.98847,310.37,1.61,1.25,2024-02-02,0005,T,80,6.1NRT,292,17.44,N
-9.3345,-36.00272,306.67,1.61,1.25,2024-02-02,0005,T,69,6.1NRT,292.12,12.41,N
46.47604,-48.48228,313.79,1.15,1.07,2024-02-02,0022,T,83,6.1NRT,270.44,22.57,N
-32.05321,-55.57035,303.53,1.47,1.2,2024-02-02,0138,T,56,6.1NRT,290.38,9.58,N
-32.05484,-55.58588,325.91,1.48,1.2,2024-02-02,0138,T,100,6.1NRT,290.88,42.52,N
-26.5666,-56.25516,305.57,1.38,1.16,2024-02-02,0138,T,63,6.1NRT,294.67,7.65,N
-26.58699,-57.14548,309.61,1.58,1.24,2024-02-02,0138,T,75,6.1NRT,296.46,11.83,N
-26.58645,-57.15138,307.44,1.58,1.24,2024-02-02,0138,T,64,6.1NRT,296.54,9.29,N
-26.21819,-55.61782,309.98,1.26,1.11,2024-02-02,0138,T,79,6.1NRT,294.36,11.11,N
-33.54168,19.09283,315.06,1.33,1.14,2024-02-02,0007,A,84,6.1NRT,297.56,16.8,N
-33.55177,19.08984,313.52,1.33,1.14,2024-02-02,0007,A,78,6.1NRT,297.52,14.27,N
-33.57489,19.10032,309.27,1.33,1.14,2024-02-02,0007,A,64,6.1NRT,295.55,9.65,N
-33.57756,19.11524,316.21,1.33,1.14,2024-02-02,0007,A,93,6.1NRT,293.81,18.34,N
-33.58353,19.10794,318.14,1.33,1.14,2024-02-02,0007,A,96,6.1NRT,294.7,20.22,N
